Emotion,clean_text
anger,want indignant boyfriend doorstep breathing fire
neutral,definitely
sadness,heard friend started drinking beer
fear,father away home come back expected came back several hours later expected
neutral,know whether hit solid striped one
anger,wanted go friend mine party moment wanted leave father said go needed work afternoon
fear,strictly avoid frightening ideas
joy,riding home school completing two midterms two days feeling well
anger,still sounded mad thought might try dissuade
fear,afraid tomorrow seen yesterday love today less
fear,felt afraid receiving question paper part ii exam
joy,happpy get good results field academics athletics
sadness,felt sad depressed heard cat died
fear,turned saw waiter bearing anxious look face
anger,works
fear,finding health condition may attending university lectures
sadness,best friend relatively severe illness sad suffering
joy,good way think
anger,found someone knew well misunderstanding years
anger,believe excuse used twice within week
neutral,hi bill saw grandma yesterday
sadness,hearing friend back home stomach pumped overdosed pills
sadness,lee sharpe last night relived anguish discovering disease feared could end career kill
sadness,talking pensioned bitter street order policeman
neutral,wow
neutral,thomestifanos security juicy business
neutral,see
anger,people would tell ex girlfriend playing around
sadness,desolate chip
anger,peter says poles furious wanted show prostitutes hotel bar claiming never
sadness,pity arrange another time hopefully
fear,duke game going give panic attack even started holldoll
anger,quarrelled brothers twins home saturday one studies private school one repeating form five know follow every word teachers books systems always try rationalize bad acts game satisfied awkward life tried persuade often failed time fight voluntary spirit polish floor
joy,yeah incredible work qi bakshi
sadness,grandmother living us years stroke left paralysed one side quite close family see suffer way makes feel really sad
anger,landlord selected new lodger used done made angry
neutral,well like playing violin
sadness,left company someone gave lot support made laugh found alone days end
joy,wow get see city
anger,angry person behaved terribly ball offending relatives
joy,modigliani delighted atmosphere warmth sincerity resumed friendship soutine
neutral,feeling
fear,gonna hurt
sadness,kind solution nearly go crazy
fear,started like frightened cat looked wide eyed
sadness,woman know slowly dying cancer observing process makes sad
joy,felt happy football pools
anger,father phoned come home vacation since longer time look garden animals
fear,drove stockholm first time drove stora hissingen road wrong exit
sadness,oh terrible bad luck wish never come country strikes revolutionaries earthquakes operations finished
joy,achieved goal indirectly work cal football nd win season gratifying brought joy hard work involved fact one expected would win
joy,received beautiful birthday gift form parents
anger,hate
joy,vacations one day lecture occured buy rose mother went together pub mother told would getting married next spring known glad
neutral,goodbye
joy,away long time friend told passed written examinations
neutral,please excuse really going
sadness,best friend promised come house prepare many expensive things learn last would turn
anger,still attended school brother usually went see aunt show term report rewarded us money although reports good brother got money
neutral,come dressed anything sixties
neutral,oh never speak spanish class miss parker speaks us english
neutral,moved
fear,one evening stayed home alone lived ground floor often afraid burglers
joy,look happy anna good news
joy,good place let get
anger,sister stole mother money made angry mother would beat unreasonable reasons one day sister lent book friend without telling mother mother learnt beat even threatened pair scissors
anger,spell bound sound french infuriated read books given
anger,know ankle deep water trying get car day handyman definitely work cut
anger,course thought deserved good marks got ordinary marks justification given marks
joy,forsythia also called winter jasmine symbol spring arrival
fear,felt fear car travelled directed towards precipice along road
sadness,unfortunately missed chance see classic movie
neutral,much worth
sadness,yes nothing inside drawers desk
neutral,telling us lie
anger,boyfriend sat half night playing computer games friend
joy,happy got message accepted student medicine
sadness,months close relative mine died never expected happen sad months
joy,ask question time
joy,first nephew looks lot like mum
neutral,come
sadness,become depressed exams concentrate work
sadness,certainly sound serious enough account great grief
neutral,study radio
sadness,years ago fell love first time natural every school girl day dreaming later years left one blame felt deep sadness even remember quite often
anger,office application made turned scrupulous interpretation rules
joy,favorite flower
sadness,desperately sad scheme come fruition glad someone take bring jobs area
fear,exam
sadness,tried level best care client took appointment doctor meeting doctor expired poor small boy uttar pradesh
sadness,told father passed away
neutral,would put whole matter table
anger,disagreements mother moved kankaanpss promised help move broke promise hindrance
fear,tonyreilly attending today due severe shame hangover send best wishes though love bubbles
joy,look tan healthy
fear,nicolescherzy nicosherzinger xa xa add three things symptom called nervoso xa xa wanna learn
sadness,dissertation put somewhere last night find
fear,sitting alone quiet room concetrating things happening around thoughts come mind make afraid
joy,went swimming happy cried sea three quarters hour
anger,door bell work sink leaking
fear,crossing street several ways cars began move thought going trampled
neutral,yeah something forever use indelible ink removed laser treatment top heard hurts lot
anger,forced call telephone company bill concerning disconnected phone belonging landlord bill four months overdue meanwhile using phone seemed intention phone reconnected
anger,oh fault warned time would much worse
sadness,last day school life sad specially farewell party day felt sad leave behind beloved teachers friends
fear,impregnated certain girl thought would forced marry go court
joy,watching asian olympic game china winning
fear,john father came cheltenham see grieving concerned future
neutral,hi
anger,promised us sea view
sadness,loss good friend
joy,came across old friend seen long time
sadness,oh terribly sorry find yoghurt saw last time
neutral,begin nine clock sharp
joy,always meet person love
sadness,following considerable despondency amongst committee seemed little hope future
sadness,child dog getting disease dying
neutral,thank god showed insane think call police
joy,successfully passed exam happy
joy,shot decisive goal ice hockey match
sadness,grandparents moved another part town
anger,honest bit fed
neutral,wonder
sadness,christmas eve tension parents even try restore harmonic atmosphere mother stayed room almost whole day felt alone sad
neutral,like spare time
sadness,friend told suffered love academics shared sadness
joy,passing exam expect pass
anger,incensed whisper called names understand
anger,mother lisa cross felt ought settle
fear,girls exchanged nervous glances thinking must miss hardbroom come reprimand bed
anger,going crazy
fear,says weakness think something normal humans gods scared make mistakes experience grow
sadness,treatment become pregnant negative result
joy,suddenly relief telephone rang joanna picked wrote message came back table looking elated
neutral,ha like ever one beat around bush
joy,thank
anger,waiting receive participation profits receive
anger,ridiculous taiwan much easier get medicine need
anger,stop picking going mad
joy,got present great friend dog
fear,one night walking along park began think roughnecks would appear suddenly knives things like
fear,walking dark thinking ghost stories
anger,hint exasperation voice
neutral,eleven
fear,care others concerned country future
sadness,look back wawsn big deal lost temper
sadness,time went home holidays find sister passed away news hidden could take exams
anger,seemed exasperated though well control
joy,seen finished copy delighted encouraged susan write said mrs major
joy,great idea peter could use drink
sadness,longer term offspring depressed mothers likely suffer childhood depression
neutral,phone
sadness,close friend travelled another country knew would come back many years felt sad
anger,regretting let become riled delved bag came bar soap
neutral,think yes get along well
joy,got thank shirley
neutral,follow
joy,vitor went hunkers much child glee spent minute two admiring toy
anger,gone home week end came back found clothes bedding stolen
joy,exhilarated heard ornette coleman improvising free jazz plastic saxophone club
sadness,th january received message home telling father passed away previous day history cancer oesophagus time third year secondary school
fear,rainy day cycling downhill car door suddenly opened trying avoid back wheels bike got caught tram tracks somersaulted injuries
anger,got feeling housekeeping boyfriend anything happened period exams study hard
neutral,parents usually give children freedom country sometimes give much freedom
joy,amazing sun almost gone yet still color everywhere
sadness,mistake
joy,also due barbaric delight high sounding verbiage probably powerful reason use
sadness,grief stricken widow destroyed cricket clothes equipment
joy,guys anything special
fear,aston villa great run hold particular horrors norwich players
fear,give speech historical event audiece people age know
fear,tix tonight officialpwg fucking ride fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck
fear,said nothing lying deathly afraid grown straight men uncomfortably high voices whydoyousoundlikethat
fear,week entered army selected days pass hours day waiting answer last worst fear convoked hearing fated phrase constant
fear,afraid tomorrow seen yesterday love today less
joy,saw family separation one year
joy,poor things life say simultaneously thrilled appalled pore latest revelations mail express
joy,meeting best friend airport boyfriend missed terribly
neutral,contrary exciting
fear,go season needs word happen
joy,nice tie wearing
anger,tired always wearing clothing
joy,winning queensland chess championship
fear,confronted outside party nasty character gesturing car full mean acting friends felt danger
fear,question live world love
sadness,felt sad left home could stand longer regret missed little sister much missed feelings wear time
sadness,grandmother died stronger relation mother
joy,married life
neutral,thanks
fear,floyd patterson expressed dismay current treatment
sadness,terrible
sadness,friend mine psychiatric problems mother death ages ago really quiet relates back childhood feel sadness lead normal life seems unfair
anger,damn muttered exasperation
sadness,miserable cold although prepared admit miserable prepared admit misery connection cold
sadness,worrying may lost
anger,heard provided another pair medical uniform
anger,disgust
neutral,oh
anger,could reason friend angered
sadness,got message child feeling well
joy,first came campus
joy,felt joyful boyfriend met station first said would
fear,oh god happened dying
joy,merry christmas bill
fear,water level rising near home flooding
sadness,since many parents miserable separated offspring would struggle pay money misery finally decided home
neutral,talking let see horoscopes
sadness,geographical moves found third important list ten precipitants concentrated month onset depressive symptoms forty consecutive clinically depressed patients
joy,party worries tests homework etc many friends present good music
neutral,mean got working experience right
sadness,find policeman
sadness,know happened lost
fear,sleeping heard neighbours screaming peeped window saw thief trying enter neighbour house
joy,like former fob felt joy received telegram offering new one though better waiting
sadness,quite succeed breast feeding baby
neutral,sorry far museum
sadness,cat died illness us years lovely cat ill one two weeks veterinary surgeon told us dying
sadness,close friend victoria visited holidays enjoyed company immensely short days overwhelmed sadness left return victoria
anger,another patron tried step enraged lover flew
fear,got caught shoplifting package gummy bears
sadness,despondent told
fear,walking friday night nijmegen going pub disco
anger,received poor grade midterm even though got right answers knew material went ta try raise grade
neutral,heard prison
joy,pretty say beautiful rather imagine thing nearer perfect beauty altogether face figure
sadness,meetings back back morning phone rang hook minute walked office
fear,cousin loved much unfortunately passed away suddenly one time dream talking yet dead
sadness,done lot reading comprehension exercises also spend much time memorizing english words
fear,back busy day didnt get watch match realize hope recorded
joy,apparently skipper landed felt extremely pleased threw enormous buck twist
anger,anger boyfriend best friend alienating blaming personality changes boyfriend changes boyfriend attitude obvious egoistical attitude also lost one best friends girlfriend
anger,saw people beating man seemed stranger
joy,would like compliment diligence
fear,mr hamilton said deeply concerned told shall ask immediate steps taken normal decencies observed
neutral,say much modern people imagine
sadness,remember sad whe aunt child died days old
anger,see
neutral,said lovely day go walk
sadness,told friend mine going mexico good
fear,brave enough ta born da world none
sadness,sister lost one twin sons first nephews older one died week later
neutral,yes sars epidemic effective control yet better risk
fear,would right afraid let stop
anger,learnt younger sister expelled secondary school pregnant second time happened family first time elder sister
anger,stand sick drinking
fear,gone boxing tournament ended clock morning alone way back could hear barking dogs nocturnal animals sound footsteps rumour circulating ghosts area
neutral,later
fear,hello help computer oh man
anger,friends left without waiting arranged go together
sadness,woke nightmare
fear,afraid academic results face several problems scared limitations unlimited problems know cope
anger,heating controls work anymore always feels like degrees car even summer
joy,got unexpected letter guy school mate
sadness,really wish done
sadness,knew sister law finacial situation facing
sadness,girlfriend left house lived together months ago made sad
neutral,ok hello
anger,accused falling love someone girlfriend true girl friend mine
sadness,finding china poor cannot good reference books
joy,days quite happy travelling trolley
neutral,right explain later scram
sadness,squeezed like despondent sardines looked huddling warmth
joy,boyfriend suffered form ill health months week physician told restored health
sadness,hey cindy sorry yesterday yelled front everyone
fear,ahhhh worried dentist put long
sadness,nah boring gonna go play killer zombies playstation
joy,felt extreme joy day baptized one god
neutral,agree commercials tv
joy,happy baby sometimes used cry nothing easily upset
neutral,right bought day came market
anger,smile patient peeved sad
fear,swift connection cosmetics prostitution carefully assembled exterior often conceals physical horror moral contamination
sadness,one closest friends died unexpectantly
neutral,uh yes
anger,enraged animal charged christopher rogers pinning ground
fear,afraid walk forest one day dropped bus around pm
neutral,oh ari mean pay invited go tonight let go dutch pay way insist
neutral,colorado
anger,house hunting another person got flat would liked heaped floot words letter
neutral,everyone school
neutral,ah
sadness,owner mean heartbreak loss family pet
anger,robyn leant door office found experiencing old familiar surge deep annoyance
anger,one teacher used get mad would throw slates around whole class ducking way
anger,reached bus stop realized forgotten bus pass
sadness,felt sad friend mine failed final exam could accepted institution learning
sadness,see oh wait sorry slacks sale
joy,told everyone last lecture lectures english everybody come english classes
joy,let hope stroke good luck lasts hope financial difficulties good
neutral,frightened must joking
joy,got young dog
fear,miss geng clan bila la aku bole join korang
joy,felt glad took rather difficult organic chemistry examination
joy,sounds good food fantastic
sadness,sorry
joy,ecstatic fans filled stadia night scream girly instantly dubbed mighty minogue
anger,angry brother making fun teasing
anger,stranger district coming brow hill would stopped astonished perhaps little peeved see ploughman lane lying beneath
anger,member religious sect tried convert using really evil tricks persuade left anxious angry long time event alone
sadness,possible sad babies becoming children yet accept fact
sadness,sister impolite father family lunch together restaurant thought parents prejudiced extreme thought
neutral,right rude lunch
sadness,oh sorry notice sorry
fear,night watching airplanes cud enjoy getting much enjoy watching fly across sky
joy,make three cups comes harry
anger,great really mad william mean kind idiot able appreciate smart beautiful woman like anybody would friends guy really dumb
fear,think chicken pox contagious get away breathe
joy,last days trail however became much happier take risks although babies remained unkissed
fear,result breaking indicator light mentioned guilt
fear,motor accident frong seat passenger spit blood
anger,teacher though pretending highly cultivated teacher man slapped classmate mine face quite undeservedly
joy,admitted chinese universiity
joy,received accredited totally unexpecting happy
anger,father told careful try seek admission places also apart faculty social sciences university helsinki interested place time study entrance exams
sadness,friend pregnant lost child second month went see hospital crying felt sorry
sadness,sorry speed limit
fear,almost ran small boy suddenly front car
sadness,failed first entrance exam
fear,rules laws made people frightened losing property sort people frightened mugged night
anger,someone told good english class
joy,nice day go outing
anger,angry one day went see girlfriend talked could answer back depressed reasons known
anger,important basket ball match lot stake played badly
sadness,power cut made unable listen songs sung favourite pop star
anger,brother continually interupting talking telephone
fear,sachalan free expression revolution
anger,punished leader
joy,received promotion letter
sadness,grandmother passed away
fear,crossed street nearly trampled car
sadness,already idea
joy,fine actually mexico china business trip visiting local companies manufacture bathroom products
neutral,see trying think could improve
joy,first prize cross country race
joy,succeded establishing contact girl girlfriend
sadness,one time particular go sleep whenever feel tired
anger,faint annoyance began show major tzann face
neutral,fine
anger,school write essay something wrong wrote essay mistreated got saturday morning detention along kids show
anger,absolutely refuse thirteen people dinner friday
fear,imagine horror
sadness,rather afraid well
anger,heated argument lover whose intention marry near future rejected started cry stopped crying moment said got
joy,marriage received sc results post happy learn got good marks first class
joy,sounds good
joy,hello penny moved
anger,ur really let
neutral,jog
anger,argument among friends opinions way spend spare time disapproved
sadness,learned former boyfriend become engaged although glad found wanted sad personal loss since always hoped might one day reconcile
sadness,little sister graduation high school grandmother became sick passed away months later
neutral,oh shame really hard working
joy,naturally got discharged second birthday
joy,received letter university telling application accepted
fear,man freaking gotta help
joy,one night friend place realized everything wished around
neutral,dream
sadness,sorry university computer center sells macintosh equipment
anger,shaw however worked exasperation weekend winning durham cleveland county veterans title
joy,autumn also nice washington
sadness,love problems
anger,find fair
neutral,tell
joy,getting university entrance accredited arriving home boarding school accrediting leave
neutral,really like straight legs
joy,good idea let see get people plan much business days anyway think many people interested
neutral,work
anger,oh shut fault kept quite would never happened
neutral,buy look particularly interesting buy regularly
joy,like thai food see much bangkok
sadness,alone home new year eve
sadness,elder sister died
neutral,believe
sadness,well mr brooks sorry delay everything completed time get back
joy,delighted jim apprehensive jasper alice lay long time awake silent room
anger,dare say prize juries might peeved judgment queried
anger,discovered people trusted talking behind back
joy,advertisements appeared novoye russkoye weekend causing buzz excitement soviet expatriate enclave brighton beach also known little odessa
anger,agreed go mall still look things market
sadness,holiday met friend tried commit suicide left hospital lips trembling looked miserable
neutral,absolutely
sadness,oh sorry
fear,little hesitant apply deodorant ever
anger,realized far behind others language course could longer catch others
joy,passed exams
joy,simple laughing islanders subsequently worshipped god much amusement sophisticated neighbours
neutral,popular game america
anger,take materials back please
anger,argument mother criticized rules imposes home rigid arbitrary
sadness,feel itchy stand anymore think may coming something feel lightheaded weak
fear,christmas eve finished exams afraid results one major subjects unsatisfactory thought chance passing even failed subject would need repeat however liked subject much results bad lazyness forced change minor subject would unwilling
sadness,hard time sleeping lately
neutral,ok
sadness,storm blew roof away
sadness,loss person loved much
fear,witnessed bus accident bus full passengers nearly overturned road
sadness,quarrel good friend fact pay visit expected come hereafter sad became real quarrel
sadness,thing made friends relatives sad happened
anger,breath furious note even panting struggled free glared
neutral,pardon
neutral,try
neutral,oh see
joy,felt elated frightened
anger,many youngsters feel resentful society kicking
neutral,live without job future
neutral,yes wondering roommate planning coming place
neutral,missed classes need make sure come school regular basis
sadness,definitely really sorry
joy,quarrel fianct admitted fault everything allright first time surprised coffee cake bunch flowers
sadness,getting know uncle america brain tumor
joy,old boyfriend yes one asked good time asked following week actually took interest
joy,even telephoned wexford tell elation subsiding somewhat heard chief inspector also found three hours
fear,curious went spiritism session friend already times many times younger day even believe spiritism terribly afraid something would happen sort incorporation
joy,delighted gained complete attention lori squirmed seat
joy,boyfriend experience something nice made nice walk together
fear,real sense word experienced fear first months army first night duty cause bear became panic sticken may first time even forgot gun
neutral,come
sadness,made decision yet
joy,made dinner friends appreciated much
neutral,five
joy,last night
fear,young woman stared back like frightened rabbit
neutral,much
neutral,bad
neutral,try
anger,fine start drinking home cooked meals low fat happy
sadness,close friend decided stop study go back home
joy,really pleased came back found fighting fit even though still using one wing crutch support crooked leg
sadness,failed subject despite fact studied quite lot
sadness,certain person respect esteem lot pays attention keeps appearances shows almost interest
anger,sure
sadness,sorry little trouble understanding accent
neutral,course dinner still
fear,frightened death
joy,time sister first baby happy joyous stayed two days marriage child
anger,enough
fear,individuals become excessively nervous visiting vet example good idea begin visits early dog life
neutral,want black white coffee
fear,particularly concerned increase incidents involving youngsters especially girls said founder regina dollar
joy,felt joy admitted higher agricultural institute
joy,elizabeth face lit told martha excitement clothes sent tamar
fear,one day busy day dreaming along road suddenly heard sound jamming car braked behind woke dreams crash
anger,gazza blazing mad training ground discussion misinterpreted bust
joy,seen house
anger,wish knew moved flower pots
sadness,gloom hand sees noisy grimy city crowded underground stations overpriced restaurants jostling strangers mournful faces
fear,afraid would fail examination
sadness,sorry hear wrong
fear,thinking death
neutral,feeling today
joy,friend came tell father invited go holiday benidorm otherwise could afford go holiday
anger,close friend failed live expectations thereby causing pain spouse believe anger probably reaction fear able live expectations
fear,jillscott love ultimate adult weapon haha
sadness,heard women depressed spend th birthday incommunicado mini nervous breakdown bed
neutral,guess
joy,friend mine abroad undertook recently axam enter university dallas approved
sadness,went see dead body uncle dramatic expreience first time entered mortuary
joy,washed floor thorough pleased done
sadness,hot sunny water looked cool inviting maggie felt quite downcast swimsuit
neutral,thank
neutral,think find possibility romance within first second meeting someone called love first sight
joy,elation took clothes back kitchen leave phoebe scrawled memo front door
joy,good work nice
anger,someone borrowed textbook deliberately return
sadness,worried sick might leave one day
sadness,turn sir sorry wait saturday busy day us
fear,confronted policeman one night around clock afraid threatened take girl gallows
joy,accepted student
neutral,absolutely
anger,summer workplace person kept interfering tasks making unfounded remarks felt hatred stopped realized longed attention
anger,friend told would better familiar terms another friend although opinion reason say things said hoping would search support however necessary
fear,awakened dream middle night dreamt stranger house
anger,one close friends saying like way nice people know nasty
neutral,sir
sadness,tonight bed realised bad relationship friend
sadness,oh bad news
fear,get scared moment see needle could stand needles body hours end
fear,work day care centre one day children outdoors four year old boy disappeared yard looking manager responsible
neutral,zina talk something personal
fear,feeling thoroughly disquieted left room rush
anger,accused brother stolen kwatcha note mother bag beaten money found later
neutral,answer
neutral,day go
sadness,well really worried grades think course would stressful
fear,come quickly
anger,throw street
joy,yeah bad seat place
sadness,know else willing work hard sometimes make mistakes boss happy
fear,sumtimes fear jobless school gives creeps undergraduate
fear,holiday walking back staying night two men started closely following nobody around could run
joy,ok mum invite friends home
anger,yes hurry
neutral,spring
fear,nervous laugh topical sally provided zola trial
anger,heated discussion spouse concerning new house
neutral,dad taping windows
anger,situation happened friend john ate banana kept cupboard
sadness,boyfriend asked forget would easy
sadness,sorry janet left home bring back morning
sadness,pounds passport bag really worry
joy,received letter acceptance cal
sadness,afterwards tommy disappeared maudie seemed heartbroken began wonder
neutral,crazy
joy,good dinner national day
neutral,sure name film know romantic one
neutral,get
joy,feel excited come something jack help always ready hear
fear,involved car accident thumb caught glove compartment sister fear finally telling parents since sister driver
fear,oh god awesome play love scene
sadness,felt lonely dissatisfied realised could feel jealous women boyfriend
joy,got first class twelveth standard exams surprised happy good time friends
sadness,really sad nobody wants like done
sadness,receiving grade paper mentioned fear
joy,passed driving test three failures
sadness,sorry jim
sadness,sorry
neutral,hi mary look pale today matter
fear,minutes till pizza express pizza cooked
anger,hate see abuse animals
anger,angry day teacher told sweep orange peels friends supposed sweep teacher told
joy,love stir fry crispy bitesize vegetables covered mixture soy sauce oyster sauce wilted greens fresh bean sprouts throw onion garlic ginger mmm mmm almost lunchtime would die plate stir fry right
sadness,parents sister went trip separated three months
neutral,nice see please give regards mrs robbins
fear,crossing road overcome fear
sadness,felt sad saw first list names people entered university name
joy,nephew born birth hard big baby
neutral,ok
fear,driving fast small road met oncoming car right handed bend driver side road skid avoid collision dark
fear,physically assaulted sexually abused year ago feeling might get away intact even alive produced fear
fear,dismay german suppliers mr lopez also eager share advice foreign competitors
anger,monthe ago brother wife told bad manners make matters worse let use telephone allowed people tribe
fear,nervous oral test
neutral,good game
joy,problems start becomes excited frisky usual
fear,strategy factor option
sadness,mother death
sadness,despondent needy ever
sadness,sorry sold right please come back next week
joy,favourite football team made goal win cup england
fear,continous fear nuclear war
anger,stay away
fear,grandmother die effect night read book bed perfect darkness fear arose may suddenly die
joy,one evening group friends talk trustful joyful atmosphere
joy,sure button press shoot
joy,eating biscuits drinking milo chocolate energy drink made milk usually drunk warm friend college get really well withold feelings friends pretty good cheering homesick
fear,afraid met uncle time boyfriend thought going given pocket money
sadness,grandmother died
anger,family discussion future prospects student accused bothering looking job assume financial situation
sadness,really sorry let make somehow
sadness,feel way
neutral,finish writing minute
anger,told truth
joy,contented workers likely profitable
sadness,sister hospital later evening received information died
sadness,sorry disturb early
sadness,fact said helen feeling particularly glum
anger,someone drove car denied happened
joy,stage sunderland good value lead mr crosby must contented man
fear,important sports events
anger,began feel exasperated
neutral,yes
sadness,living working conditions home unbearable used live three room flat together two families discords caused change one families moved family stayed us drifted away fianct fact two families flat found alone struggle life fiancedid stay next grief sorrow took large proportions wanted commit suicide instead threw cause irritation
sadness,father gave money brother
joy,lot probably got moonlight rest life worth come get let take drive
fear,expecting extremely important phonecall minute terror opportunity
sadness,know hear right know please calm anyway wanna part drop tomorrow
fear,year intend drive snow especially motorway respect mother nature
fear,found problem homework would get solved although tried best
sadness,suffered heartbreak losing three children premature births
sadness,sister lost son sixteen years old felt bad first death family learned slowly understand life
neutral,wanted said box still plastic wrap store opened people believe new
sadness,miserable giggle wondered fiances postured lawn
sadness,selected go university malawi felt sad
fear,since war cia alarmed left wing british governments many whose politicians regards friends moscow
fear,lost wallet travelling since belonged group afraid
joy,felt thrilled back abyssinia stared entranced arid landscape danakil desert
fear,friend involved car accident
anger,cassmate laughed scolded teacher
fear,fear loss close friend result behavior
fear,found father lung cancer know long would live
joy,learnt newspaper accepted chinese university clock morning later told family relatives tea joyfully
fear,someone knocked door alone home though door bell looked peep hole covered called sister could help hundreds kilometres away
anger,hearing rumours allowing people room said sentence really shot heart failed find right words instead walked away without uttering word
neutral,bye
joy,found best friend chosen english lectures
anger,seem getting anywhere damn machine said exasperation
joy,oh good could come around six thirty seven clock would give us time chat whit glass wine dinner
neutral,starts
sadness,sorry sir
sadness,girlfriend nephew passed away
sadness,oh broke vase accidentally
fear,hitch hiking went man drived like madman
fear,call police definitely following
anger,also aroused protestant anger dr runcie time become involved row attack pharisees british society
neutral,sounds good let go
sadness,oh sir lost passport
fear,two guys fighting murderously feared one would killed
fear,feared dog eye infected much played around weeds foxtail gotten eyelid took vet feared may go blind foxtail
fear,important exam
neutral,day
sadness,finished relation four years leading much sorrow one although best solution
fear,concerned courts lenient
anger,father began say incoherant things concerning brother behaviour towards biased authoritarian ridiculous point view made us angry
neutral,hehe sure
neutral,bet
sadness,heard sister got bad car accident
neutral,like
